"AMR.genotypes","SNP_cluster_group","USregion","season","collection.yr","min_SNP","Isolation_Group"
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","autumn","2010",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2013",1.63675400640912,3
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2013",1.49237478932974,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2013",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.24017581562279,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2013",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",0.33734105269472,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2013",0.914857921012229,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2013",1.34799557225036,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2013",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE,lin=PARTIAL","PDS000000366.504","west","winter","2013",0.33734105269472,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.0957965985434123,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2013",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","spring","2014",0.192961835615342,3
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","spring","2014",0.914857921012229,3
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2014",1.34799557225036,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2014",2.50302930888538,9
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2014",1.92551244056787,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2014",-0.384555032702167,6
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2014",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2014",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2014",0.481720269774097,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","summer","2014",-0.0957965985434123,3
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2014",0.33734105269472,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2011",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2011",0.626099486853475,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2012",0.0485826185359651,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2012",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2012",-0.0957965985434123,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2012",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2012",0.192961835615342,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2011",0.0485826185359651,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2011",0.33734105269472,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2011",0.0485826185359651,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","autumn","2014",0.626099486853475,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2014",-0.673313466860922,10
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2014",-0.528934249781544,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2014",0.770478703932852,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2014",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2014",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2014",-0.24017581562279,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2013",-0.528934249781544,3
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","autumn","2014",-0.528934249781544,3
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2014",-0.673313466860922,2
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2014",0.481720269774097,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2014",-0.384555032702167,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2014",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2011",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2011",-0.24017581562279,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2014",-0.528934249781544,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","autumn","2014",-0.24017581562279,3
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","autumn","2014",-0.528934249781544,3
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.673313466860922,2
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.673313466860922,2
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2015",1.34799557225036,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",-0.673313466860922,2
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2015",0.192961835615342,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2015",-0.673313466860922,9
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2015",-0.528934249781544,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2015",0.0485826185359651,10
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",3.08054617720289,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","spring","2015",0.0485826185359651,3
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",0.626099486853475,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.24017581562279,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2014",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","spring","2015",0.626099486853475,3
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","winter","2013",3.08054617720289,3
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",0.770478703932852,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2015",-0.384555032702167,6
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2015",2.06989165764725,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",-0.673313466860922,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",0.0485826185359651,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",0.0485826185359651,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",0.0485826185359651,6
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0.914857921012229,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",-0.673313466860922,6
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",-0.673313466860922,6
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",-0.673313466860922,6
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",-0.673313466860922,6
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",-0.528934249781544,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",0.0485826185359651,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2011",-0.24017581562279,10
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2011",0.192961835615342,9
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2011",-0.24017581562279,10
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2015",3.08054617720289,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",-0.384555032702167,6
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","autumn","2011",-0.528934249781544,2
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","autumn","2011",-0.528934249781544,2
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","summer","2015",2.64740852596476,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.0957965985434123,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.0957965985434123,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.0957965985434123,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.24017581562279,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",0.192961835615342,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.24017581562279,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2012",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2012",0.192961835615342,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2013",-0.673313466860922,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2013",-0.528934249781544,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2013",-0.673313466860922,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2011",0.33734105269472,2
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2014",-0.24017581562279,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2012",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2011",2.93616696012351,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2012",0.626099486853475,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.0957965985434123,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",3.51368382844102,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",0.914857921012229,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",0.481720269774097,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",1.78113322348849,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",3.08054617720289,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",3.22492539428227,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2015",0.481720269774097,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","summer","2015",1.05923713809161,3
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2014",-0.673313466860922,2
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2014",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2014",-0.24017581562279,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","autumn","2014",-0.24017581562279,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2014",-0.673313466860922,2
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2014",0.33734105269472,2
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","summer","2011",-0.528934249781544,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2012",-0.528934249781544,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2012",-0.384555032702167,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2012",-0.528934249781544,9
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2012",-0.528934249781544,9
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2015",0.481720269774097,6
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2015",-0.673313466860922,9
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","autumn","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","autumn","2015",0.481720269774097,3
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",0.626099486853475,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","autumn","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","winter","2015",-0.528934249781544,6
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2015",0.626099486853475,6
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2011",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2011",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2011",-0.24017581562279,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",-0.0957965985434123,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",-0.0957965985434123,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",-0.24017581562279,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",-0.24017581562279,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","winter","2015",-0.0957965985434123,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",0.0485826185359651,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",0.626099486853475,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","winter","2012",-0.0957965985434123,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",0.192961835615342,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.0957965985434123,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.0957965985434123,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.0957965985434123,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.24017581562279,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.24017581562279,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",0.192961835615342,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","summer","2015",-0.24017581562279,8
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",0.192961835615342,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","winter","2016",-0.528934249781544,3
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","winter","2016",0.770478703932852,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","winter","2016",0.192961835615342,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","winter","2016",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","other","winter","2016",-0.528934249781544,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2015",0.481720269774097,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",0.481720269774097,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","spring","2015",0.481720269774097,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2016",-0.384555032702167,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","autumn","2010",1.78113322348849,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","south","spring","2016",2.79178774304414,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2016",2.79178774304414,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","midwest","spring","2016",2.21427087472663,10
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","west","summer","2015",1.20361635517098,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2016",-0.673313466860922,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2016",0.0485826185359651,5
"fosX=COMPLETE,lin=COMPLETE","PDS000000366.504","northeast","spring","2016",-0.384555032702167,5
